Belgium, Prost, McLaren TAG, 02:01.7, 1985
Europe, Laffite, Ligier Renault, 01:11.5, 1985
South Africa, Rosberg, Williams Honda, 01:08.1, 1985
Australia, Rosberg, Williams Honda, 01:23.8, 1985
Brazil, Piquet, Williams Honda, 01:33.5, 1986
Spain, Mansell, Williams Honda, 01:27.2, 1986
San Marino, Piquet, Williams Honda, 01:28.7, 1986
Monaco, Prost, McLaren TAG, 01:26.6, 1986
Belgium, Prost, McLaren TAG, 01:59.3, 1986
Canada, Piquet, Williams Honda, 01:25.4, 1986
Detroit, Piquet, Williams Honda, 01:41.2, 1986
France, Mansell, Williams Honda, 01:10.0, 1986
Great Britain, Mansell, Williams Honda, 01:09.6, 1986
Germany, Berger, Benetton BMW, 01:46.6, 1986
Hungary, Piquet, Williams Honda, 01:31.0, 1986
Austria, Berger, Benetton BMW, 01:29.4, 1986
Italy, Fabi, Benetton BMW, 01:28.1, 1986
Portugal, Mansell, Williams Honda, 01:20.9, 1986
Mexico, Piquet, Williams Honda, 01:19.4, 1986
Australia, Piquet, Williams Honda, 01:20.8, 1986
Brazil, Piquet, Williams Honda, 01:33.9, 1987
San Marino, Fabi, Benetton Ford, 01:29.2, 1987
Belgium, Prost, McLaren TAG, 01:57.2, 1987
Monaco, Senna, Lotus Honda, 01:27.7, 1987
Detroit, Senna, Lotus Honda, 01:40.5, 1987
France, Piquet, Williams Honda, 01:09.5, 1987
Great Britain, Mansell, Williams Honda, 01:09.8, 1987
Germany, Mansell, Williams Honda, 01:45.7, 1987
Hungary, Piquet, Williams Honda, 01:30.1, 1987
Austria, Mansell, Williams Honda, 01:28.3, 1987
Italy, Senna, Lotus Honda, 01:26.8, 1987
Portugal, Berger, Ferrari, 01:19.3, 1987
Spain, Berger, Ferrari, 01:27.0, 1987
Mexico, Piquet, Williams Honda, 01:19.1, 1987
Japan, Prost, McLaren TAG, 01:43.8, 1987
Australia, Berger, Ferrari, 01:20.4, 1987
Brazil, Berger, Ferrari, 01:32.9, 1988
San Marino, Prost, McLaren Honda, 01:29.7, 1988
Monaco, Senna, McLaren Honda, 01:26.3, 1988
Mexico, Prost, McLaren Honda, 01:18.6, 1988
